Name,Computed Value,Total Weight,Optimality
05SubsetSum/n05000/R10000/s055.kp,12337678,12337678,Optimal
05SubsetSum/n10000/R01000/s084.kp,2498215,2498215,Optimal
06UncorrelatedWithSimilarWeights/n00050/R10000/s037.kp,18170,2401138,Optimal
06UncorrelatedWithSimilarWeights/n00100/R10000/s092.kp,39742,4902536,Optimal
06UncorrelatedWithSimilarWeights/n00200/R01000/s061.kp,71180,9905065,Optimal
06UncorrelatedWithSimilarWeights/n00500/R01000/s045.kp,191428,24712506,Uncertain
06UncorrelatedWithSimilarWeights/n01000/R10000/s077.kp,372222,49523572,Optimal
06UncorrelatedWithSimilarWeights/n02000/R10000/s052.kp,747440,99050678,Uncertain
06UncorrelatedWithSimilarWeights/n05000/R10000/s089.kp,1865038,247624250,Uncertain
06UncorrelatedWithSimilarWeights/n10000/R01000/s014.kp,3747930,495244356,Uncertain
07SpannerUncorrelated/n00050/R01000/s076.kp,9976,3132,Optimal
07SpannerUncorrelated/n00100/R10000/s018.kp,186368,65248,Uncertain
07SpannerUncorrelated/n00200/R10000/s013.kp,282842,350488,Uncertain
07SpannerUncorrelated/n00500/R10000/s042.kp,726853,312953,Uncertain
07SpannerUncorrelated/n01000/R01000/s056.kp,244439,121305,Uncertain
07SpannerUncorrelated/n02000/R10000/s048.kp,1998474,2592398,Uncertain
07SpannerUncorrelated/n05000/R10000/s025.kp,13424140,6537916,Uncertain
07SpannerUncorrelated/n10000/R10000/s059.kp,25880876,12151450,Uncertain
08SpannerWeaklyCorrelated/n00050/R01000/s080.kp,16907,4821,Optimal
08SpannerWeaklyCorrelated/n00100/R01000/s000.kp,20550,20824,Optimal
08SpannerWeaklyCorrelated/n00200/R01000/s062.kp,61632,28926,Optimal
08SpannerWeaklyCorrelated/n00500/R01000/s002.kp,22174,119464,Uncertain
08SpannerWeaklyCorrelated/n01000/R01000/s006.kp,229236,196488,Uncertain
08SpannerWeaklyCorrelated/n02000/R10000/s076.kp,2373768,3250276,Uncertain
08SpannerWeaklyCorrelated/n05000/R10000/s059.kp,15977685,7207109,Uncertain
08SpannerWeaklyCorrelated/n10000/R01000/s045.kp,1027873,922988,Uncertain
09SpannerStronglyCorrelated/n00050/R01000/s045.kp,18404,4304,Optimal
09SpannerStronglyCorrelated/n00100/R10000/s032.kp,389072,35072,Uncertain
09SpannerStronglyCorrelated/n00200/R01000/s087.kp,67969,7869,Uncertain
09SpannerStronglyCorrelated/n00500/R10000/s059.kp,2688154,742154,Uncertain
09SpannerStronglyCorrelated/n01000/R10000/s025.kp,5191150,1616150,Uncertain
09SpannerStronglyCorrelated/n02000/R10000/s003.kp,8960472,1914472,Uncertain
09SpannerStronglyCorrelated/n05000/R10000/s064.kp,21996914,6829914,Uncertain
09SpannerStronglyCorrelated/n10000/R01000/s027.kp,4498588,1670988,Uncertain
10MultipleStronglyCorrelated/n00050/R10000/s082.kp,201513,119513,Optimal
10MultipleStronglyCorrelated/n00100/R10000/s096.kp,399417,246417,Optimal
10MultipleStronglyCorrelated/n00200/R01000/s072.kp,80842,49842,Optimal
10MultipleStronglyCorrelated/n00500/R10000/s031.kp,1993722,1225722,Uncertain
10MultipleStronglyCorrelated/n01000/R01000/s056.kp,400958,248358,Uncertain
10MultipleStronglyCorrelated/n02000/R01000/s036.kp,806766,497766,Uncertain
10MultipleStronglyCorrelated/n05000/R01000/s032.kp,2013678,1238478,Optimal
10MultipleStronglyCorrelated/n10000/R01000/s044.kp,4025958,2480058,Uncertain
11ProfitCeiling/n00050/R10000/s075.kp,116847,116853,Optimal
11ProfitCeiling/n00100/R10000/s039.kp,233946,233955,Uncertain
11ProfitCeiling/n00200/R01000/s012.kp,48576,48605,Optimal
11ProfitCeiling/n00500/R01000/s047.kp,124941,124986,Uncertain
11ProfitCeiling/n01000/R10000/s079.kp,2458479,2458581,Uncertain
11ProfitCeiling/n02000/R10000/s064.kp,4937856,4938042,Uncertain
11ProfitCeiling/n05000/R10000/s071.kp,12404955,12405451,Uncertain
11ProfitCeiling/n10000/R10000/s024.kp,24529959,24530889,Uncertain
12Circle/n00050/R01000/s015.kp,275797,13089,Optimal
12Circle/n00100/R01000/s060.kp,514616,24423,Uncertain
12Circle/n00200/R01000/s052.kp,1065533,50569,Uncertain
12Circle/n00500/R10000/s076.kp,83442181,1251696,Uncertain
12Circle/n01000/R01000/s035.kp,5049273,239632,Uncertain
12Circle/n02000/R10000/s017.kp,331301437,4969773,Uncertain
12Circle/n05000/R01000/s069.kp,26070155,1237257,Uncertain
12Circle/n10000/R01000/s097.kp,52258355,2480115,Uncertain
